epoch,train_loss,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,lr,early_stop_counter
1,1.308165,0.8484,0.6878,0.7222,0.7528,0.001,0
2,0.669616,0.8413,0.7105,0.7663,0.7727,0.001,0
3,0.511412,0.8687,0.7742,0.8060,0.8163,0.001,0
4,0.432326,0.8702,0.8186,0.8171,0.8353,0.001,0
5,0.398356,0.8857,0.8245,0.8270,0.8457,0.001,0
6,0.377555,0.8707,0.7736,0.8241,0.8228,0.001,1
7,0.355009,0.8702,0.8441,0.8255,0.8466,0.001,2
8,0.345144,0.8888,0.8683,0.8526,0.8699,0.001,0
9,0.334374,0.8859,0.8638,0.8447,0.8648,0.001,1
10,0.316854,0.8446,0.8565,0.8350,0.8454,0.001,2
11,0.307400,0.9015,0.8782,0.8515,0.8771,0.001,0
12,0.295098,0.8917,0.8806,0.8541,0.8755,0.001,1
13,0.266503,0.8970,0.8754,0.8492,0.8739,0.001,2
14,0.269158,0.8881,0.8632,0.8219,0.8577,0.001,3
15,0.287755,0.9022,0.8791,0.8542,0.8785,0.001,0
16,0.286982,0.9060,0.8821,0.8438,0.8773,0.001,1
17,0.283756,0.8749,0.8823,0.8548,0.8707,0.001,2
18,0.268580,0.9016,0.8980,0.8617,0.8871,0.001,0
19,0.245360,0.9042,0.8935,0.8581,0.8853,0.001,1
20,0.265450,0.9023,0.8826,0.8400,0.8750,0.001,2
21,0.249388,0.9053,0.8769,0.8569,0.8797,0.001,3
22,0.250444,0.8882,0.8961,0.8655,0.8833,0.001,4
23,0.254374,0.9035,0.8867,0.8588,0.8830,0.001,5
24,0.253004,0.9103,0.8990,0.8670,0.8921,0.001,0
25,0.239837,0.9090,0.8982,0.8632,0.8901,0.001,1
26,0.242366,0.9082,0.8999,0.8640,0.8907,0.001,2
27,0.232185,0.8960,0.8874,0.8612,0.8815,0.001,3
28,0.233514,0.9122,0.8985,0.8637,0.8915,0.001,4
29,0.239865,0.9149,0.9002,0.8689,0.8947,0.001,0
30,0.234818,0.8991,0.8531,0.8355,0.8626,0.001,1
31,0.219924,0.9085,0.9026,0.8696,0.8936,0.001,2
32,0.240747,0.9109,0.8913,0.8580,0.8867,0.001,3
33,0.246858,0.9191,0.8996,0.8680,0.8956,0.001,4
34,0.233447,0.9135,0.8979,0.8655,0.8923,0.001,5
35,0.239101,0.9101,0.9024,0.8726,0.8950,0.001,6
36,0.217168,0.9110,0.9079,0.8752,0.8980,0.001,0
37,0.213010,0.8914,0.8898,0.8566,0.8793,0.001,1
38,0.212528,0.9020,0.9064,0.8729,0.8938,0.001,2
39,0.239502,0.9143,0.9031,0.8685,0.8953,0.001,3
40,0.223530,0.9138,0.9048,0.8665,0.8950,0.001,4
41,0.224419,0.9155,0.9033,0.8748,0.8979,0.001,5
42,0.213414,0.9150,0.9068,0.8733,0.8983,0.001,6
43,0.240202,0.9197,0.9029,0.8736,0.8987,0.001,7
44,0.210435,0.9103,0.8907,0.8588,0.8866,0.001,8
45,0.213330,0.9073,0.8695,0.8445,0.8738,0.001,9
46,0.217288,0.9121,0.9078,0.8740,0.8980,0.001,10
47,0.251517,0.9095,0.8796,0.8529,0.8807,0.001,11
48,0.211608,0.9083,0.8934,0.8593,0.8870,0.001,12
49,0.216026,0.9197,0.9126,0.8811,0.9045,0.001,0
50,0.204069,0.9185,0.9118,0.8779,0.9027,0.001,1
51,0.205268,0.9205,0.9057,0.8710,0.8990,0.001,2
52,0.219945,0.9201,0.9021,0.8721,0.8981,0.001,3
53,0.221978,0.9069,0.8802,0.8488,0.8786,0.001,4
54,0.209737,0.9111,0.8985,0.8671,0.8923,0.001,5
55,0.230248,0.9188,0.9044,0.8709,0.8981,0.001,6
56,0.231827,0.9175,0.9092,0.8757,0.9008,0.001,7
57,0.214939,0.9124,0.8939,0.8685,0.8916,0.001,8
58,0.221620,0.9232,0.9068,0.8741,0.9014,0.001,9
59,0.217889,0.9220,0.8979,0.8650,0.8950,0.001,10
60,0.211618,0.9185,0.9070,0.8747,0.9001,0.0005,11
61,0.192063,0.9233,0.9140,0.8812,0.9062,0.0005,0
62,0.197263,0.9184,0.9134,0.8783,0.9034,0.0005,1
63,0.185326,0.9241,0.9185,0.8861,0.9095,0.0005,0
64,0.189303,0.9201,0.9166,0.8832,0.9066,0.0005,1
65,0.198792,0.9204,0.9017,0.8772,0.8997,0.0005,2
66,0.192736,0.9259,0.9077,0.8779,0.9038,0.0005,3
67,0.185113,0.9212,0.9150,0.8827,0.9063,0.0005,4
68,0.182417,0.9300,0.9039,0.8793,0.9044,0.0005,5
69,0.192032,0.9256,0.9181,0.8851,0.9096,0.0005,6
70,0.188227,0.9272,0.9164,0.8832,0.9089,0.0005,7
71,0.185464,0.9254,0.9139,0.8839,0.9078,0.0005,8
72,0.189359,0.9243,0.9118,0.8782,0.9048,0.0005,9
73,0.190386,0.9163,0.9104,0.8796,0.9021,0.0005,10
74,0.182796,0.9262,0.9159,0.8830,0.9084,0.00025,11
75,0.178959,0.9262,0.9216,0.8883,0.9120,0.00025,0
