epoch,train_loss,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,lr,early_stop_counter
1,0.656934,0.8486,0.7296,0.7994,0.7925,0.001,0
2,0.412946,0.8887,0.8120,0.8312,0.8440,0.001,0
3,0.358534,0.8965,0.8350,0.8402,0.8572,0.001,0
4,0.334084,0.8944,0.8370,0.8344,0.8553,0.001,1
5,0.308441,0.9068,0.7635,0.8145,0.8283,0.001,2
6,0.280314,0.8995,0.8476,0.8458,0.8643,0.001,0
7,0.272854,0.8995,0.8728,0.8435,0.8719,0.001,0
8,0.273333,0.8864,0.8510,0.8361,0.8578,0.001,1
9,0.240200,0.9067,0.8711,0.8462,0.8747,0.001,0
10,0.231766,0.9034,0.8753,0.8508,0.8765,0.001,0
11,0.235471,0.9157,0.8848,0.8505,0.8837,0.001,0
12,0.227334,0.9152,0.8510,0.8213,0.8625,0.001,1
13,0.220715,0.9153,0.8933,0.8624,0.8904,0.001,0
14,0.209155,0.9191,0.8923,0.8638,0.8918,0.001,0
15,0.215212,0.9092,0.8953,0.8679,0.8908,0.001,1
16,0.246294,0.9169,0.8978,0.8631,0.8926,0.001,2
17,0.222845,0.9193,0.8838,0.8555,0.8862,0.001,3
18,0.206880,0.9086,0.8598,0.8258,0.8647,0.001,4
19,0.198814,0.9303,0.9056,0.8713,0.9024,0.001,0
20,0.210595,0.9252,0.9145,0.8805,0.9067,0.001,0
21,0.208820,0.9231,0.8950,0.8650,0.8944,0.001,1
22,0.219290,0.9030,0.8975,0.8660,0.8888,0.001,2
23,0.204244,0.9280,0.9036,0.8691,0.9002,0.001,3
24,0.215713,0.9113,0.8980,0.8615,0.8902,0.001,4
25,0.203228,0.9265,0.9154,0.8814,0.9078,0.001,0
26,0.212356,0.9304,0.8997,0.8692,0.8998,0.001,1
27,0.190203,0.9270,0.8994,0.8702,0.8988,0.001,2
28,0.194235,0.9265,0.9059,0.8731,0.9018,0.001,3
29,0.193182,0.9294,0.9061,0.8755,0.9037,0.001,4
30,0.195743,0.9312,0.9138,0.8802,0.9084,0.001,5
31,0.184662,0.9263,0.9112,0.8757,0.9044,0.001,6
32,0.196764,0.9301,0.9091,0.8769,0.9054,0.001,7
33,0.234556,0.9230,0.8914,0.8678,0.8940,0.001,8
34,0.212219,0.9311,0.9104,0.8790,0.9068,0.001,9
35,0.198407,0.9262,0.9122,0.8788,0.9057,0.001,10
36,0.184001,0.9237,0.9096,0.8768,0.9034,0.001,11
37,0.185947,0.9285,0.9117,0.8819,0.9074,0.001,12
38,0.182942,0.9289,0.9157,0.8801,0.9082,0.001,13
39,0.180847,0.9221,0.9155,0.8799,0.9058,0.001,14
40,0.182207,0.9335,0.9050,0.8749,0.9044,0.001,15
41,0.183404,0.9306,0.8983,0.8788,0.9026,0.0005,16
42,0.176902,0.9302,0.9182,0.8840,0.9108,0.0005,0
43,0.174481,0.9319,0.9186,0.8845,0.9117,0.0005,1
44,0.164019,0.9320,0.9178,0.8837,0.9111,0.0005,2
45,0.177193,0.9354,0.9208,0.8873,0.9145,0.0005,0
46,0.168727,0.9327,0.9163,0.8825,0.9105,0.0005,1
47,0.182399,0.9387,0.9209,0.8858,0.9151,0.0005,2
48,0.162296,0.9362,0.9193,0.8853,0.9136,0.0005,3
49,0.171511,0.9398,0.9215,0.8888,0.9167,0.0005,0
50,0.171315,0.9269,0.9139,0.8786,0.9065,0.0005,1
51,0.160935,0.9377,0.9199,0.8849,0.9142,0.0005,2
52,0.167159,0.9395,0.9219,0.8866,0.9160,0.0005,3
53,0.175565,0.9322,0.9169,0.8832,0.9107,0.0005,4
54,0.165835,0.9361,0.9198,0.8842,0.9133,0.0005,5
55,0.165743,0.9308,0.9126,0.8801,0.9078,0.0005,6
56,0.166321,0.9278,0.9227,0.8871,0.9125,0.0005,7
57,0.165995,0.9334,0.9213,0.8927,0.9158,0.0005,8
58,0.151072,0.9389,0.9218,0.8904,0.9171,0.0005,9
59,0.170278,0.9405,0.9200,0.8901,0.9169,0.0005,10
60,0.162232,0.9399,0.9202,0.8870,0.9157,0.0005,11
61,0.159162,0.9368,0.9207,0.8880,0.9151,0.0005,12
62,0.155192,0.9432,0.9253,0.8927,0.9204,0.0005,0
63,0.155725,0.9345,0.9232,0.8894,0.9157,0.0005,1
64,0.151897,0.9291,0.9219,0.8886,0.9132,0.0005,2
65,0.160965,0.9376,0.9212,0.8871,0.9153,0.0005,3
66,0.160689,0.9310,0.9186,0.8897,0.9131,0.0005,4
67,0.159493,0.9349,0.9257,0.8913,0.9173,0.0005,5
68,0.160223,0.9374,0.9245,0.8885,0.9168,0.0005,6
69,0.150941,0.9379,0.9176,0.8888,0.9148,0.0005,7
70,0.155634,0.9419,0.9228,0.8889,0.9179,0.0005,8
71,0.156948,0.9292,0.9294,0.8923,0.9170,0.0005,9
72,0.158053,0.9377,0.9245,0.8893,0.9171,0.0005,10
73,0.152060,0.9419,0.9210,0.8871,0.9167,0.00025,11
74,0.148497,0.9368,0.9199,0.8873,0.9147,0.00025,12
75,0.155855,0.9379,0.9246,0.8928,0.9184,0.00025,13
76,0.142302,0.9405,0.9265,0.8937,0.9203,0.00025,14
77,0.137660,0.9414,0.9267,0.8940,0.9207,0.00025,15
78,0.142506,0.9374,0.9276,0.8942,0.9197,0.00025,16
79,0.149351,0.9427,0.9247,0.8907,0.9194,0.00025,17
80,0.135943,0.9394,0.9261,0.8930,0.9195,0.00025,18
81,0.142418,0.9437,0.9180,0.8874,0.9163,0.00025,19
82,0.143753,0.9377,0.9184,0.8874,0.9145,0.00025,20
83,0.145044,0.9369,0.9223,0.8928,0.9173,0.00025,21
84,0.138918,0.9421,0.9225,0.8942,0.9196,0.00025,22
85,0.141311,0.9415,0.9232,0.8902,0.9183,0.00025,23
86,0.140743,0.9386,0.9259,0.8936,0.9194,0.00025,24
87,0.137390,0.9431,0.9241,0.8910,0.9194,0.00025,25
88,0.134795,0.9404,0.9268,0.8931,0.9201,0.000125,26
89,0.140923,0.9423,0.9298,0.8968,0.9230,0.000125,0
90,0.128917,0.9450,0.9296,0.8966,0.9237,0.000125,1
91,0.141209,0.9413,0.9286,0.8955,0.9218,0.000125,2
92,0.146919,0.9396,0.9261,0.8947,0.9202,0.000125,3
93,0.142086,0.9434,0.9285,0.8961,0.9227,0.000125,4
94,0.135126,0.9388,0.9234,0.8909,0.9177,0.000125,5
95,0.137153,0.9422,0.9290,0.8956,0.9222,0.000125,6
96,0.140385,0.9437,0.9284,0.8966,0.9229,0.000125,7
97,0.135735,0.9444,0.9283,0.8976,0.9234,0.000125,8
98,0.126212,0.9444,0.9228,0.8904,0.9192,0.000125,9
99,0.134957,0.9423,0.9316,0.8983,0.9240,0.000125,0
100,0.137295,0.9418,0.9299,0.8965,0.9227,0.000125,1
