epoch,train_loss,train_correlation_loss,train_weighted_correlation_loss,train_grad_norm,skipped_optimizer_steps,skipped_nonfinite_losses,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,full_val_dice_wt,full_val_dice_tc,full_val_dice_et,full_val_mean_dice,selection_mean_dice,lr,early_stop_counter
1,1.198415,,,0.916718,0,0,0.8179,0.6826,0.7216,0.7407,,,,,,0.001,0
2,0.610800,,,0.747490,0,0,0.8333,0.7549,0.7833,0.7905,,,,,,0.001,0
3,0.471710,,,0.742489,0,0,0.8823,0.8060,0.8070,0.8318,,,,,,0.001,0
4,0.394678,,,0.649767,0,0,0.8810,0.7995,0.8212,0.8339,,,,,,0.001,0
5,0.385716,,,0.706876,0,0,0.8732,0.8203,0.8018,0.8318,,,,,,0.001,0
6,0.363127,,,0.663103,0,0,0.8978,0.8484,0.8371,0.8611,,,,,,0.001,0
7,0.327061,,,0.590675,0,0,0.8860,0.8623,0.8442,0.8642,,,,,,0.001,0
8,0.322240,,,0.573016,0,0,0.8783,0.7869,0.8187,0.8280,,,,,,0.001,0
9,0.314207,,,0.589078,0,0,0.8856,0.8446,0.8220,0.8508,,,,,,0.001,0
10,0.303032,,,0.598245,0,0,0.8994,0.8719,0.8485,0.8733,0.9070,0.8804,0.8557,0.8810,0.8810,0.001,0
11,0.290988,,,0.518161,0,0,0.8976,0.8843,0.8561,0.8793,,,,,,0.001,0
12,0.274983,,,0.503960,0,0,0.8937,0.8825,0.8519,0.8760,,,,,,0.001,0
13,0.272525,,,0.567666,0,0,0.8952,0.8759,0.8489,0.8733,,,,,,0.001,0
14,0.275195,,,0.491357,0,0,0.9029,0.8905,0.8566,0.8833,,,,,,0.001,0
15,0.255796,,,0.461846,0,0,0.9007,0.8787,0.8432,0.8742,,,,,,0.001,0
16,0.263368,,,0.480462,0,0,0.8967,0.8834,0.8516,0.8772,,,,,,0.001,0
17,0.260375,,,0.464435,0,0,0.9046,0.8535,0.8214,0.8598,,,,,,0.001,0
18,0.273947,,,0.467296,0,0,0.9064,0.8911,0.8574,0.8850,,,,,,0.001,0
19,0.258346,,,0.448952,0,0,0.9035,0.8778,0.8495,0.8769,,,,,,0.001,0
20,0.259563,,,0.408391,0,0,0.9071,0.8867,0.8510,0.8816,0.8920,0.9021,0.8654,0.8865,0.8865,0.001,0
21,0.267547,,,0.442963,0,0,0.9072,0.8941,0.8605,0.8873,,,,,,0.001,0
22,0.236584,,,0.385528,0,0,0.9182,0.8982,0.8650,0.8938,,,,,,0.001,0
23,0.253345,,,0.437051,0,0,0.9083,0.8799,0.8425,0.8769,,,,,,0.001,0
24,0.243635,,,0.423710,0,0,0.9138,0.8921,0.8640,0.8900,,,,,,0.001,0
25,0.236679,,,0.358394,0,0,0.9138,0.8806,0.8425,0.8790,,,,,,0.001,0
26,0.236877,,,0.377023,0,0,0.9172,0.8820,0.8479,0.8824,,,,,,0.001,0
27,0.241324,,,0.345815,0,0,0.9201,0.8875,0.8576,0.8884,,,,,,0.001,0
28,0.235470,,,0.356887,0,0,0.8865,0.8674,0.8356,0.8632,,,,,,0.001,0
29,0.240842,,,0.429315,0,0,0.9021,0.8632,0.8453,0.8702,,,,,,0.001,0
30,0.240903,,,0.356959,0,0,0.9201,0.9055,0.8763,0.9006,0.9218,0.9094,0.8814,0.9042,0.9042,0.001,0
31,0.221846,,,0.340902,0,0,0.9123,0.8969,0.8650,0.8914,,,,,,0.001,0
32,0.247438,,,0.443954,0,0,0.9195,0.9056,0.8728,0.8993,,,,,,0.001,0
33,0.228708,,,0.347803,0,0,0.9221,0.8914,0.8538,0.8891,,,,,,0.001,0
34,0.225341,,,0.312788,0,0,0.9160,0.8987,0.8639,0.8929,,,,,,0.001,0
35,0.239640,,,0.397867,0,0,0.9159,0.8819,0.8524,0.8834,,,,,,0.001,0
36,0.217994,,,0.333232,0,0,0.9111,0.8957,0.8695,0.8921,,,,,,0.001,0
37,0.241077,,,0.357103,0,0,0.9131,0.8819,0.8542,0.8831,,,,,,0.001,0
38,0.228797,,,0.375121,0,0,0.9214,0.9021,0.8684,0.8973,,,,,,0.001,0
39,0.236277,,,0.323339,0,0,0.9033,0.9022,0.8701,0.8918,,,,,,0.001,0
40,0.222953,,,0.314403,0,0,0.9059,0.9057,0.8721,0.8945,0.9205,0.9236,0.8910,0.9117,0.9117,0.001,0
41,0.223020,,,0.310155,0,0,0.9206,0.9056,0.8743,0.9002,,,,,,0.001,0
42,0.221017,,,0.329185,0,0,0.9101,0.8885,0.8584,0.8857,,,,,,0.001,0
43,0.213160,,,0.305104,0,0,0.9076,0.8726,0.8549,0.8784,,,,,,0.001,0
44,0.226330,,,0.341555,0,0,0.9202,0.9056,0.8742,0.9000,,,,,,0.001,0
45,0.246367,,,0.394230,0,0,0.9131,0.8699,0.8472,0.8767,,,,,,0.001,0
46,0.223575,,,0.287313,0,0,0.9158,0.8870,0.8602,0.8877,,,,,,0.001,0
47,0.206511,,,0.280771,0,0,0.9243,0.9034,0.8777,0.9018,,,,,,0.001,0
48,0.209709,,,0.305366,0,0,0.9157,0.9088,0.8724,0.8990,,,,,,0.001,0
49,0.231441,,,0.310153,0,0,0.9204,0.9028,0.8670,0.8967,,,,,,0.001,0
50,0.203542,,,0.271104,0,0,0.9194,0.9070,0.8768,0.9011,0.9207,0.9199,0.8939,0.9115,0.9115,0.001,1
51,0.228247,,,0.357315,0,0,0.9150,0.9132,0.8812,0.9031,,,,,,0.001,1
52,0.209789,,,0.279399,0,0,0.9241,0.9200,0.8826,0.9089,,,,,,0.001,1
53,0.210100,,,0.285973,0,0,0.9081,0.8906,0.8580,0.8856,,,,,,0.001,1
54,0.205361,,,0.300823,0,0,0.9134,0.8979,0.8690,0.8934,,,,,,0.001,1
55,0.216042,,,0.296923,0,0,0.9084,0.9097,0.8717,0.8966,,,,,,0.001,1
56,0.213238,,,0.324246,0,0,0.9154,0.9013,0.8676,0.8947,,,,,,0.001,1
57,0.221167,,,0.297432,0,0,0.9214,0.8974,0.8637,0.8942,,,,,,0.001,1
58,0.216788,,,0.288327,0,0,0.9058,0.8993,0.8619,0.8890,,,,,,0.001,1
59,0.215095,,,0.317158,0,0,0.9245,0.9026,0.8716,0.8996,,,,,,0.001,1
60,0.216105,,,0.303704,0,0,0.9195,0.9057,0.8771,0.9008,0.9229,0.9238,0.8912,0.9127,0.9127,0.001,2
61,0.212504,,,0.277409,0,0,0.9266,0.9164,0.8811,0.9080,,,,,,0.001,2
62,0.201555,,,0.276714,0,0,0.9172,0.9096,0.8763,0.9011,,,,,,0.001,2
63,0.205645,,,0.259059,0,0,0.9224,0.9074,0.8760,0.9019,,,,,,0.001,2
64,0.218466,,,0.309943,0,0,0.9213,0.9086,0.8692,0.8997,,,,,,0.001,2
65,0.208366,,,0.266289,0,0,0.9184,0.9170,0.8813,0.9056,,,,,,0.001,2
66,0.212998,,,0.324173,0,0,0.9204,0.9114,0.8804,0.9041,,,,,,0.001,2
67,0.217822,,,0.276358,0,0,0.9223,0.8967,0.8675,0.8955,,,,,,0.001,2
68,0.221224,,,0.291040,0,0,0.9133,0.9031,0.8688,0.8951,,,,,,0.001,2
69,0.213804,,,0.274047,0,0,0.9220,0.9111,0.8755,0.9028,,,,,,0.001,2
70,0.205804,,,0.264811,0,0,0.9169,0.8987,0.8653,0.8937,0.9266,0.9149,0.8840,0.9085,0.9085,0.001,3
71,0.204430,,,0.292791,0,0,0.9229,0.9139,0.8802,0.9057,,,,,,0.001,3
72,0.217159,,,0.304130,0,0,0.9230,0.8986,0.8737,0.8984,,,,,,0.001,3
73,0.204744,,,0.262716,0,0,0.9088,0.9028,0.8706,0.8941,,,,,,0.001,3
74,0.207801,,,0.272024,0,0,0.9208,0.9071,0.8746,0.9008,,,,,,0.001,3
75,0.205786,,,0.278434,0,0,0.9233,0.9152,0.8788,0.9058,,,,,,0.001,3
76,0.223160,,,0.297270,0,0,0.9150,0.9014,0.8631,0.8932,,,,,,0.001,3
77,0.207450,,,0.253063,0,0,0.9221,0.9133,0.8848,0.9067,,,,,,0.001,3
78,0.205730,,,0.264344,0,0,0.9280,0.9120,0.8812,0.9071,,,,,,0.001,3
79,0.208813,,,0.247420,0,0,0.9219,0.9181,0.8882,0.9094,,,,,,0.001,3
