epoch,train_loss,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,lr,early_stop_counter
1,0.697492,0.8469,0.6674,0.7794,0.7646,0.001,0
2,0.405887,0.8573,0.7973,0.8081,0.8209,0.001,0
3,0.339835,0.8856,0.8579,0.8393,0.8609,0.001,0
4,0.305550,0.8771,0.8446,0.8238,0.8485,0.001,1
5,0.303845,0.8965,0.8755,0.8519,0.8746,0.001,0
6,0.263580,0.8965,0.8658,0.8373,0.8665,0.001,1
7,0.265036,0.8567,0.8708,0.8390,0.8555,0.001,2
8,0.251710,0.8910,0.8769,0.8422,0.8700,0.001,3
9,0.228073,0.9027,0.8825,0.8501,0.8784,0.001,0
10,0.242811,0.8893,0.8600,0.8355,0.8616,0.001,1
11,0.251034,0.9096,0.8745,0.8464,0.8768,0.001,2
12,0.234359,0.9123,0.8865,0.8549,0.8846,0.001,0
13,0.241568,0.9138,0.8868,0.8520,0.8842,0.001,1
14,0.229183,0.9160,0.8927,0.8530,0.8872,0.001,0
15,0.233885,0.9118,0.8887,0.8629,0.8878,0.001,1
16,0.225014,0.9147,0.8755,0.8544,0.8815,0.001,2
17,0.207487,0.9254,0.9038,0.8663,0.8985,0.001,0
18,0.217467,0.9173,0.8928,0.8597,0.8899,0.001,1
19,0.237494,0.8898,0.8902,0.8571,0.8790,0.001,2
20,0.199191,0.9221,0.8698,0.8570,0.8830,0.001,3
21,0.221606,0.9084,0.8876,0.8541,0.8833,0.001,4
22,0.212691,0.9158,0.8965,0.8696,0.8940,0.001,5
23,0.209405,0.9206,0.8840,0.8599,0.8882,0.001,6
24,0.233260,0.9160,0.8845,0.8537,0.8847,0.001,7
25,0.207539,0.9036,0.8933,0.8554,0.8841,0.001,8
26,0.208978,0.9228,0.9027,0.8730,0.8995,0.001,0
27,0.207242,0.9137,0.8947,0.8611,0.8898,0.001,1
28,0.183022,0.9225,0.9014,0.8682,0.8973,0.001,2
29,0.184857,0.9183,0.9107,0.8728,0.9006,0.001,0
30,0.216099,0.9003,0.8639,0.8368,0.8670,0.001,1
31,0.222541,0.9259,0.9056,0.8754,0.9023,0.001,0
32,0.209579,0.9166,0.8969,0.8633,0.8923,0.001,1
33,0.201994,0.9250,0.9084,0.8751,0.9028,0.001,2
34,0.193077,0.9261,0.9018,0.8672,0.8984,0.001,3
35,0.193286,0.9319,0.8885,0.8590,0.8931,0.001,4
36,0.196597,0.9213,0.8386,0.8684,0.8761,0.001,5
37,0.209305,0.9245,0.9133,0.8785,0.9054,0.001,0
38,0.191752,0.9155,0.9000,0.8641,0.8932,0.001,1
39,0.189247,0.9304,0.9028,0.8720,0.9017,0.001,2
40,0.192059,0.9198,0.9074,0.8803,0.9025,0.001,3
41,0.199864,0.9270,0.9007,0.8692,0.8990,0.001,4
42,0.195810,0.9060,0.8895,0.8553,0.8836,0.001,5
43,0.180425,0.9299,0.9159,0.8819,0.9092,0.001,0
44,0.191832,0.9326,0.9151,0.8794,0.9090,0.001,1
45,0.182501,0.9335,0.9154,0.8818,0.9102,0.001,0
46,0.189961,0.9256,0.8980,0.8730,0.8989,0.001,1
47,0.184121,0.9324,0.9120,0.8783,0.9076,0.001,2
48,0.195177,0.9130,0.9068,0.8744,0.8981,0.001,3
49,0.181885,0.9328,0.9101,0.8782,0.9070,0.001,4
50,0.184784,0.9305,0.9034,0.8759,0.9033,0.001,5
51,0.167072,0.9357,0.9012,0.8787,0.9052,0.001,6
52,0.181319,0.8864,0.8802,0.8438,0.8701,0.001,7
53,0.190148,0.9281,0.9054,0.8728,0.9021,0.001,8
54,0.186293,0.9304,0.9000,0.8784,0.9029,0.001,9
55,0.180282,0.9347,0.9123,0.8791,0.9087,0.001,10
56,0.175819,0.9275,0.9088,0.8825,0.9062,0.0005,11
57,0.162061,0.9339,0.9227,0.8900,0.9155,0.0005,0
58,0.161418,0.9391,0.9156,0.8851,0.9132,0.0005,1
59,0.160200,0.9393,0.9100,0.8866,0.9120,0.0005,2
60,0.151947,0.9312,0.9168,0.8808,0.9096,0.0005,3
61,0.157542,0.9376,0.9219,0.8878,0.9158,0.0005,4
62,0.164528,0.9374,0.9216,0.8874,0.9154,0.0005,5
63,0.166588,0.9325,0.9108,0.8800,0.9078,0.0005,6
64,0.157795,0.9359,0.9188,0.8877,0.9141,0.0005,7
65,0.166345,0.9351,0.9120,0.8828,0.9099,0.0005,8
66,0.155192,0.9387,0.9246,0.8922,0.9185,0.0005,0
67,0.157255,0.9354,0.9222,0.8874,0.9150,0.0005,1
68,0.153015,0.9343,0.9215,0.8863,0.9140,0.0005,2
69,0.154238,0.9302,0.9145,0.8831,0.9093,0.0005,3
70,0.158798,0.9360,0.9210,0.8869,0.9146,0.0005,4
71,0.150347,0.9384,0.9220,0.8893,0.9166,0.0005,5
72,0.159601,0.9291,0.9022,0.8723,0.9012,0.0005,6
73,0.160994,0.9405,0.9172,0.8889,0.9155,0.0005,7
74,0.163760,0.9384,0.9163,0.8783,0.9110,0.0005,8
75,0.152113,0.9426,0.9135,0.8873,0.9144,0.0005,9
76,0.158279,0.9384,0.9167,0.8825,0.9125,0.0005,10
77,0.152293,0.9408,0.9192,0.8872,0.9158,0.00025,11
78,0.147587,0.9433,0.9232,0.8904,0.9190,0.00025,12
79,0.155224,0.9409,0.9212,0.8890,0.9170,0.00025,13
80,0.153936,0.9406,0.9225,0.8896,0.9176,0.00025,14
