epoch,train_loss,train_correlation_loss,train_weighted_correlation_loss,train_grad_norm,skipped_optimizer_steps,skipped_nonfinite_losses,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,full_val_dice_wt,full_val_dice_tc,full_val_dice_et,full_val_mean_dice,selection_mean_dice,lr,early_stop_counter
31,0.136133,0.000000,0.000000,0.355780,0,0,0.9440,0.9268,0.8979,0.9229,,,,,,0.0001,0
32,0.150365,0.000000,0.000000,0.357262,0,0,0.9423,0.9312,0.9003,0.9246,,,,,,0.0001,0
33,0.154815,0.000000,0.000000,0.356368,0,0,0.9410,0.9237,0.8941,0.9196,,,,,,0.0001,0
34,0.142497,0.000000,0.000000,0.335157,0,0,0.9436,0.9293,0.8997,0.9242,,,,,,0.0001,0
35,0.138553,0.000000,0.000000,0.357652,0,0,0.9450,0.9266,0.8964,0.9227,,,,,,0.0001,0
36,0.138759,0.000000,0.000000,0.315659,0,0,0.9445,0.9257,0.8943,0.9215,,,,,,0.0001,0
37,0.138090,0.000000,0.000000,0.326363,0,0,0.9407,0.9292,0.8994,0.9231,,,,,,0.0001,0
38,0.136515,0.000000,0.000000,0.308440,0,0,0.9441,0.9289,0.8993,0.9241,,,,,,0.0001,0
39,0.140328,0.000000,0.000000,0.356827,0,0,0.9442,0.9265,0.8941,0.9216,,,,,,0.0001,0
40,0.141435,0.000000,0.000000,0.319046,0,0,0.9475,0.9246,0.8942,0.9221,0.9494,0.9372,0.9108,0.9325,0.9325,0.0001,1
41,0.144416,0.000000,0.000000,0.324826,0,0,0.9391,0.9314,0.9008,0.9238,,,,,,0.0001,1
42,0.141831,0.000000,0.000000,0.328009,0,0,0.9453,0.9285,0.9004,0.9247,,,,,,0.0001,1
43,0.139540,0.000000,0.000000,0.309481,0,0,0.9421,0.9307,0.9010,0.9246,,,,,,0.0001,1
44,0.137549,0.000000,0.000000,0.306730,0,0,0.9434,0.9263,0.8963,0.9220,,,,,,0.0001,1
45,0.138401,0.000000,0.000000,0.319360,0,0,0.9466,0.9293,0.9001,0.9253,,,,,,0.0001,1
46,0.138416,0.000000,0.000000,0.304354,0,0,0.9425,0.9240,0.8953,0.9206,,,,,,0.0001,1
47,0.136880,0.000000,0.000000,0.332525,0,0,0.9438,0.9321,0.9008,0.9256,,,,,,0.0001,1
48,0.139234,0.000000,0.000000,0.343081,0,0,0.9445,0.9323,0.9008,0.9259,,,,,,0.0001,1
49,0.141667,0.000000,0.000000,0.304007,0,0,0.9415,0.9250,0.8965,0.9210,,,,,,0.0001,1
50,0.148327,0.000000,0.000000,0.419866,0,0,0.9433,0.9248,0.8956,0.9212,0.9474,0.9355,0.9076,0.9302,0.9302,0.0001,2
51,0.146993,0.000000,0.000000,0.359727,0,0,0.9436,0.9277,0.8988,0.9234,,,,,,0.0001,2
52,0.133559,0.000000,0.000000,0.300619,0,0,0.9435,0.9288,0.9012,0.9245,,,,,,0.0001,2
53,0.141992,0.000000,0.000000,0.366788,0,0,0.9418,0.9298,0.8980,0.9232,,,,,,0.0001,2
54,0.137993,0.000000,0.000000,0.336045,0,0,0.9432,0.9307,0.8983,0.9240,,,,,,0.0001,2
55,0.141019,0.000000,0.000000,0.324533,0,0,0.9450,0.9305,0.8994,0.9249,,,,,,0.0001,2
56,0.136262,0.000000,0.000000,0.359158,0,0,0.9415,0.9334,0.9012,0.9254,,,,,,0.0001,2
57,0.145366,0.000000,0.000000,0.362544,0,0,0.9378,0.9324,0.9004,0.9235,,,,,,0.0001,2
58,0.143403,0.000000,0.000000,0.327865,0,0,0.9426,0.9290,0.8993,0.9237,,,,,,0.0001,2
59,0.138845,0.000000,0.000000,0.335029,0,0,0.9437,0.9306,0.9008,0.9251,,,,,,0.0001,2
60,0.141876,0.000000,0.000000,0.308420,0,0,0.9436,0.9297,0.8995,0.9243,0.9493,0.9357,0.9108,0.9319,0.9319,0.0001,3
61,0.131411,0.000000,0.000000,0.311463,0,0,0.9435,0.9325,0.9023,0.9261,,,,,,0.0001,3
62,0.143847,0.000000,0.000000,0.404232,0,0,0.9387,0.9272,0.8955,0.9205,,,,,,0.0001,3
63,0.137930,0.000000,0.000000,0.356293,0,0,0.9403,0.9321,0.9025,0.9250,,,,,,0.0001,3
64,0.133618,0.000000,0.000000,0.325246,0,0,0.9436,0.9314,0.9022,0.9257,,,,,,0.0001,3
65,0.141334,0.000000,0.000000,0.360850,0,0,0.9404,0.9278,0.8985,0.9223,,,,,,0.0001,3
66,0.131125,0.000000,0.000000,0.328103,0,0,0.9438,0.9325,0.9028,0.9264,,,,,,0.0001,3
67,0.148825,0.000000,0.000000,0.478062,0,0,0.9409,0.9295,0.8999,0.9234,,,,,,0.0001,3
68,0.137892,0.000000,0.000000,0.426256,0,0,0.9429,0.9329,0.9021,0.9260,,,,,,0.0001,3
69,0.139191,0.000000,0.000000,0.381744,0,0,0.9432,0.9306,0.8987,0.9242,,,,,,0.0001,3
70,0.137454,0.000000,0.000000,0.348041,0,0,0.9437,0.9302,0.9005,0.9248,0.9477,0.9363,0.9104,0.9315,0.9315,0.0001,4
71,0.137847,0.000000,0.000000,0.344063,0,0,0.9446,0.9280,0.8984,0.9237,,,,,,0.0001,4
72,0.138311,0.000000,0.000000,0.365946,0,0,0.9396,0.9319,0.9022,0.9246,,,,,,0.0001,4
73,0.133156,0.000000,0.000000,0.355488,0,0,0.9460,0.9328,0.9014,0.9267,,,,,,0.0001,4
74,0.135176,0.000000,0.000000,0.377614,0,0,0.9419,0.9338,0.9022,0.9260,,,,,,0.0001,4
75,0.142835,0.000000,0.000000,0.415722,0,0,0.9431,0.9265,0.8989,0.9228,,,,,,0.0001,4
76,0.141836,0.000000,0.000000,0.354041,0,0,0.9433,0.9284,0.8976,0.9231,,,,,,0.0001,4
77,0.132700,0.000000,0.000000,0.325218,0,0,0.9444,0.9329,0.9027,0.9266,,,,,,0.0001,4
78,0.138894,0.000000,0.000000,0.361080,0,0,0.9442,0.9318,0.9008,0.9256,,,,,,0.0001,4
79,0.143806,0.000000,0.000000,0.374854,0,0,0.9466,0.9184,0.8875,0.9175,,,,,,0.0001,4
80,0.131299,0.000000,0.000000,0.336393,0,0,0.9421,0.9309,0.9013,0.9248,0.9484,0.9384,0.9125,0.9331,0.9331,0.0001,0
81,0.136439,0.000000,0.000000,0.339909,0,0,0.9444,0.9323,0.9016,0.9261,,,,,,0.0001,0
82,0.135697,0.000000,0.000000,0.336083,0,0,0.9401,0.9299,0.8993,0.9231,,,,,,0.0001,0
83,0.137839,0.000000,0.000000,0.337625,0,0,0.9416,0.9342,0.9012,0.9257,,,,,,0.0001,0
84,0.134349,0.000000,0.000000,0.343831,0,0,0.9398,0.9298,0.8986,0.9227,,,,,,0.0001,0
85,0.140552,0.000000,0.000000,0.390313,0,0,0.9405,0.9273,0.9011,0.9230,,,,,,0.0001,0
86,0.133736,0.000000,0.000000,0.348748,0,0,0.9431,0.9280,0.9002,0.9238,,,,,,0.0001,0
87,0.143848,0.000000,0.000000,0.372454,0,0,0.9418,0.9295,0.9010,0.9241,,,,,,0.0001,0
88,0.139081,0.000000,0.000000,0.356482,0,0,0.9443,0.9323,0.9019,0.9261,,,,,,0.0001,0
89,0.132774,0.000000,0.000000,0.342870,0,0,0.9432,0.9272,0.8968,0.9224,,,,,,0.0001,0
90,0.137111,0.000000,0.000000,0.337542,0,0,0.9448,0.9285,0.8994,0.9242,0.9502,0.9381,0.9121,0.9335,0.9335,0.0001,1
91,0.140121,0.000000,0.000000,0.348162,0,0,0.9430,0.9287,0.8959,0.9225,,,,,,0.0001,1
92,0.127560,0.000000,0.000000,0.311710,0,0,0.9432,0.9339,0.9002,0.9258,,,,,,0.0001,1
93,0.138093,0.000000,0.000000,0.336417,0,0,0.9425,0.9325,0.9029,0.9260,,,,,,0.0001,1
94,0.138790,0.000000,0.000000,0.390537,0,0,0.9410,0.9309,0.8999,0.9240,,,,,,0.0001,1
95,0.135872,0.000000,0.000000,0.373685,0,0,0.9461,0.9270,0.8959,0.9230,,,,,,0.0001,1
96,0.131798,0.000000,0.000000,0.356582,0,0,0.9472,0.9295,0.9016,0.9261,,,,,,0.0001,1
97,0.144260,0.000000,0.000000,0.391725,0,0,0.9443,0.9276,0.8970,0.9230,,,,,,0.0001,1
98,0.148069,0.000000,0.000000,0.409296,0,0,0.9446,0.9268,0.8962,0.9225,,,,,,0.0001,1
99,0.139120,0.000000,0.000000,0.353190,0,0,0.9423,0.9281,0.8971,0.9225,,,,,,0.0001,1
100,0.136763,0.000000,0.000000,0.341858,0,0,0.9445,0.9306,0.8992,0.9248,0.9485,0.9394,0.9127,0.9335,0.9335,0.0001,2
101,0.130157,0.000000,0.000000,0.314754,0,0,0.9442,0.9340,0.9026,0.9269,,,,,,0.0001,2
102,0.141225,0.000000,0.000000,0.404683,0,0,0.9434,0.9229,0.8925,0.9196,,,,,,0.0001,2
103,0.138988,0.000000,0.000000,0.363878,0,0,0.9459,0.9299,0.8998,0.9252,,,,,,0.0001,2
104,0.136883,0.000000,0.000000,0.385632,0,0,0.9363,0.9314,0.9009,0.9229,,,,,,0.0001,2
105,0.139455,0.000000,0.000000,0.380970,0,0,0.9440,0.9321,0.9029,0.9264,,,,,,0.0001,2
106,0.145214,0.000000,0.000000,0.412786,0,0,0.9449,0.9238,0.8948,0.9212,,,,,,0.0001,2
107,0.141777,0.000000,0.000000,0.388897,0,0,0.9415,0.9236,0.8907,0.9186,,,,,,0.0001,2
108,0.137606,0.000000,0.000000,0.387723,0,0,0.9471,0.9310,0.8995,0.9259,,,,,,0.0001,2
109,0.140397,0.000000,0.000000,0.342155,0,0,0.9459,0.9293,0.8993,0.9248,,,,,,0.0001,2
110,0.135197,0.000000,0.000000,0.329470,0,0,0.9454,0.9336,0.9020,0.9270,0.9473,0.9400,0.9131,0.9334,0.9334,0.0001,3
111,0.131609,0.000000,0.000000,0.351500,0,0,0.9452,0.9307,0.9006,0.9255,,,,,,0.0001,3
112,0.134813,0.000000,0.000000,0.362766,0,0,0.9424,0.9305,0.9002,0.9244,,,,,,0.0001,3
113,0.133730,0.000000,0.000000,0.323141,0,0,0.9441,0.9314,0.9024,0.9260,,,,,,0.0001,3
114,0.143163,0.000000,0.000000,0.442481,0,0,0.9456,0.9275,0.8962,0.9231,,,,,,0.0001,3
115,0.128004,0.000000,0.000000,0.303732,0,0,0.9434,0.9316,0.9012,0.9254,,,,,,0.0001,3
116,0.133327,0.000000,0.000000,0.310245,0,0,0.9444,0.9318,0.9009,0.9257,,,,,,0.0001,3
117,0.140172,0.000000,0.000000,0.382650,0,0,0.9438,0.9301,0.8971,0.9237,,,,,,0.0001,3
118,0.136295,0.000000,0.000000,0.365831,0,0,0.9439,0.9326,0.8989,0.9251,,,,,,0.0001,3
119,0.139357,0.000000,0.000000,0.456859,0,0,0.9456,0.9297,0.8982,0.9245,,,,,,0.0001,3
120,0.139038,0.000000,0.000000,0.355249,0,0,0.9438,0.9296,0.9011,0.9248,0.9475,0.9385,0.9126,0.9329,0.9329,0.0001,4
121,0.132469,0.000000,0.000000,0.339904,0,0,0.9373,0.9336,0.9004,0.9238,,,,,,0.0001,4
122,0.137212,0.000000,0.000000,0.397546,0,0,0.9469,0.9297,0.8988,0.9252,,,,,,0.0001,4
123,0.139987,0.000000,0.000000,0.466456,0,0,0.9396,0.9276,0.8954,0.9209,,,,,,0.0001,4
124,0.137059,0.000000,0.000000,0.350164,0,0,0.9455,0.9331,0.9015,0.9267,,,,,,0.0001,4
125,0.132229,0.000000,0.000000,0.413959,0,0,0.9445,0.9295,0.8945,0.9228,,,,,,0.0001,4
126,0.135668,0.000000,0.000000,0.339653,0,0,0.9457,0.9286,0.8970,0.9238,,,,,,0.0001,4
127,0.134079,0.000000,0.000000,0.367803,0,0,0.9447,0.9353,0.9026,0.9276,,,,,,0.0001,4
128,0.135622,0.000000,0.000000,0.354229,0,0,0.9432,0.9287,0.8984,0.9234,,,,,,0.0001,4
129,0.138511,0.000000,0.000000,0.383006,0,0,0.9443,0.9330,0.9033,0.9269,,,,,,0.0001,4
130,0.138404,0.000000,0.000000,0.391126,0,0,0.9446,0.9275,0.8983,0.9235,0.9451,0.9396,0.9125,0.9324,0.9324,5e-05,5
131,0.132461,0.000000,0.000000,0.338333,0,0,0.9441,0.9303,0.9011,0.9252,,,,,,5e-05,5
132,0.130202,0.000000,0.000000,0.335358,0,0,0.9431,0.9337,0.9042,0.9270,,,,,,5e-05,5
133,0.125941,0.000000,0.000000,0.317528,0,0,0.9436,0.9306,0.9001,0.9248,,,,,,5e-05,5
134,0.135939,0.000000,0.000000,0.322670,0,0,0.9445,0.9354,0.9041,0.9280,,,,,,5e-05,5
135,0.129683,0.000000,0.000000,0.307530,0,0,0.9446,0.9364,0.9043,0.9284,,,,,,5e-05,5
136,0.126136,0.000000,0.000000,0.320874,0,0,0.9468,0.9339,0.9030,0.9279,,,,,,5e-05,5
137,0.131992,0.000000,0.000000,0.323028,0,0,0.9466,0.9368,0.9038,0.9291,,,,,,5e-05,5
138,0.134643,0.000000,0.000000,0.384854,0,0,0.9450,0.9327,0.9034,0.9270,,,,,,5e-05,5
139,0.134905,0.000000,0.000000,0.398633,0,0,0.9424,0.9300,0.8999,0.9241,,,,,,5e-05,5
140,0.137782,0.000000,0.000000,0.389038,0,0,0.9466,0.9295,0.8991,0.9251,0.9502,0.9395,0.9106,0.9334,0.9334,5e-05,6
141,0.129651,0.000000,0.000000,0.343927,0,0,0.9466,0.9329,0.9018,0.9271,,,,,,5e-05,6
142,0.129490,0.000000,0.000000,0.356099,0,0,0.9446,0.9338,0.9022,0.9269,,,,,,5e-05,6
143,0.137687,0.000000,0.000000,0.337086,0,0,0.9423,0.9345,0.9016,0.9261,,,,,,5e-05,6
