epoch,train_loss,train_correlation_loss,train_weighted_correlation_loss,train_grad_norm,skipped_optimizer_steps,skipped_nonfinite_losses,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,full_val_dice_wt,full_val_dice_tc,full_val_dice_et,full_val_mean_dice,selection_mean_dice,lr,early_stop_counter
1,1.093591,,,0.983527,0,0,0.8441,0.7481,0.7991,0.7971,,,,,,0.001,0
2,0.572861,,,0.910855,0,0,0.8401,0.7322,0.7538,0.7754,,,,,,0.001,0
3,0.455925,,,0.885657,0,0,0.8866,0.8241,0.8251,0.8453,,,,,,0.001,0
4,0.380022,,,0.877703,0,0,0.8778,0.7518,0.8006,0.8101,,,,,,0.001,0
5,0.372050,,,0.875158,0,0,0.8782,0.8153,0.8043,0.8326,,,,,,0.001,0
6,0.334117,,,0.766099,0,0,0.8869,0.8551,0.8458,0.8626,,,,,,0.001,0
7,0.314423,,,0.748255,0,0,0.8843,0.8469,0.8416,0.8576,,,,,,0.001,0
8,0.308106,,,0.751664,0,0,0.8892,0.8581,0.8383,0.8619,,,,,,0.001,0
9,0.302352,,,0.732517,0,0,0.8821,0.8714,0.8387,0.8641,,,,,,0.001,0
10,0.285441,,,0.631009,0,0,0.8897,0.8675,0.8377,0.8650,0.9040,0.8771,0.8489,0.8767,0.8767,0.001,0
11,0.287786,,,0.654611,0,0,0.9021,0.8882,0.8569,0.8824,,,,,,0.001,0
12,0.274708,,,0.621887,0,0,0.8973,0.8905,0.8568,0.8816,,,,,,0.001,0
13,0.263988,,,0.620868,0,0,0.9027,0.8822,0.8562,0.8804,,,,,,0.001,0
14,0.256697,,,0.530287,0,0,0.8998,0.9018,0.8648,0.8888,,,,,,0.001,0
15,0.245825,,,0.521127,0,0,0.9028,0.8877,0.8524,0.8810,,,,,,0.001,0
16,0.258752,,,0.544998,0,0,0.9080,0.8735,0.8543,0.8786,,,,,,0.001,0
17,0.236932,,,0.528571,0,0,0.9081,0.8980,0.8622,0.8894,,,,,,0.001,0
18,0.257152,,,0.589653,0,0,0.9114,0.8931,0.8577,0.8874,,,,,,0.001,0
19,0.253788,,,0.513940,0,0,0.9001,0.8931,0.8601,0.8844,,,,,,0.001,0
20,0.243167,,,0.477263,0,0,0.9102,0.8953,0.8636,0.8897,0.8972,0.8973,0.8765,0.8903,0.8903,0.001,0
21,0.260632,,,0.490971,0,0,0.8670,0.9026,0.8670,0.8789,,,,,,0.001,0
22,0.229224,,,0.449844,0,0,0.9035,0.8927,0.8605,0.8856,,,,,,0.001,0
23,0.242744,,,0.471173,0,0,0.9045,0.8894,0.8528,0.8822,,,,,,0.001,0
24,0.242208,,,0.463412,0,0,0.9085,0.8925,0.8596,0.8869,,,,,,0.001,0
25,0.233306,,,0.431964,0,0,0.9185,0.8998,0.8588,0.8924,,,,,,0.001,0
26,0.230368,,,0.440087,0,0,0.9139,0.8870,0.8331,0.8780,,,,,,0.001,0
27,0.233947,,,0.393708,0,0,0.9177,0.9011,0.8664,0.8951,,,,,,0.001,0
28,0.225462,,,0.419708,0,0,0.8992,0.8920,0.8568,0.8827,,,,,,0.001,0
29,0.224341,,,0.435845,0,0,0.9025,0.9022,0.8653,0.8900,,,,,,0.001,0
30,0.233144,,,0.407507,0,0,0.9230,0.9141,0.8790,0.9054,0.9194,0.9211,0.8909,0.9105,0.9105,0.001,0
31,0.215340,,,0.413748,0,0,0.8828,0.9024,0.8645,0.8832,,,,,,0.001,0
32,0.228538,,,0.396567,0,0,0.9124,0.8995,0.8750,0.8956,,,,,,0.001,0
33,0.226912,,,0.420936,0,0,0.9162,0.8866,0.8510,0.8846,,,,,,0.001,0
34,0.221055,,,0.380657,0,0,0.9083,0.9004,0.8672,0.8920,,,,,,0.001,0
35,0.223437,,,0.418447,0,0,0.9197,0.9045,0.8617,0.8953,,,,,,0.001,0
36,0.216173,,,0.388553,0,0,0.9131,0.9024,0.8673,0.8943,,,,,,0.001,0
37,0.228990,,,0.400162,0,0,0.9129,0.9041,0.8669,0.8946,,,,,,0.001,0
38,0.207960,,,0.350757,0,0,0.9234,0.9126,0.8753,0.9037,,,,,,0.001,0
39,0.225157,,,0.391828,0,0,0.9233,0.9053,0.8661,0.8983,,,,,,0.001,0
40,0.216461,,,0.351611,0,0,0.9123,0.9180,0.8838,0.9047,0.9272,0.9246,0.8977,0.9165,0.9165,0.001,0
41,0.221292,,,0.407525,0,0,0.9049,0.8979,0.8685,0.8904,,,,,,0.001,0
42,0.218998,,,0.367904,0,0,0.9092,0.8947,0.8616,0.8885,,,,,,0.001,0
43,0.199430,,,0.299120,0,0,0.9201,0.8783,0.8648,0.8877,,,,,,0.001,0
44,0.209919,,,0.354146,0,0,0.9179,0.9137,0.8800,0.9039,,,,,,0.001,0
45,0.226559,,,0.384458,0,0,0.9104,0.8729,0.8571,0.8801,,,,,,0.001,0
46,0.216418,,,0.320861,0,0,0.9115,0.9039,0.8763,0.8972,,,,,,0.001,0
47,0.204703,,,0.346637,0,0,0.9112,0.9100,0.8785,0.8999,,,,,,0.001,0
48,0.209253,,,0.338008,0,0,0.9140,0.8927,0.8557,0.8875,,,,,,0.001,0
49,0.220841,,,0.350696,0,0,0.9152,0.9044,0.8722,0.8973,,,,,,0.001,0
50,0.201603,,,0.319190,0,0,0.9304,0.9105,0.8792,0.9067,0.9223,0.9251,0.8944,0.9140,0.9140,0.001,1
51,0.213761,,,0.352783,0,0,0.9254,0.9184,0.8861,0.9100,,,,,,0.001,1
52,0.206293,,,0.304753,0,0,0.9285,0.9145,0.8805,0.9079,,,,,,0.001,1
53,0.205306,,,0.317514,0,0,0.9147,0.8939,0.8619,0.8902,,,,,,0.001,1
54,0.203575,,,0.331473,0,0,0.9219,0.9114,0.8779,0.9037,,,,,,0.001,1
55,0.202940,,,0.309166,0,0,0.9142,0.9118,0.8780,0.9014,,,,,,0.001,1
56,0.199120,,,0.307117,0,0,0.9288,0.9200,0.8859,0.9116,,,,,,0.001,1
57,0.221703,,,0.364505,0,0,0.9122,0.9075,0.8701,0.8966,,,,,,0.001,1
58,0.214106,,,0.342340,0,0,0.9232,0.8949,0.8570,0.8917,,,,,,0.001,1
59,0.212737,,,0.382336,0,0,0.9133,0.9103,0.8768,0.9001,,,,,,0.001,1
60,0.204236,,,0.305493,0,0,0.9128,0.8963,0.8650,0.8914,0.9196,0.9190,0.8942,0.9110,0.9110,0.001,2
61,0.206068,,,0.310826,0,0,0.9311,0.9082,0.8713,0.9035,,,,,,0.001,2
62,0.199691,,,0.322751,0,0,0.9142,0.9062,0.8731,0.8979,,,,,,0.001,2
63,0.198272,,,0.279128,0,0,0.9148,0.8756,0.8609,0.8838,,,,,,0.001,2
64,0.210201,,,0.323219,0,0,0.9233,0.9185,0.8824,0.9081,,,,,,0.001,2
65,0.198330,,,0.286627,0,0,0.9212,0.9167,0.8812,0.9063,,,,,,0.001,2
66,0.203056,,,0.311266,0,0,0.9225,0.9115,0.8791,0.9044,,,,,,0.001,2
67,0.201949,,,0.290634,0,0,0.9263,0.9095,0.8803,0.9054,,,,,,0.001,2
68,0.218809,,,0.330686,0,0,0.9295,0.9163,0.8820,0.9093,,,,,,0.001,2
69,0.210719,,,0.319467,0,0,0.9299,0.9129,0.8762,0.9063,,,,,,0.001,2
70,0.205434,,,0.298188,0,0,0.9269,0.9016,0.8678,0.8987,0.9283,0.9106,0.8867,0.9085,0.9085,0.001,3
71,0.190053,,,0.269970,0,0,0.9297,0.9232,0.8907,0.9145,,,,,,0.001,3
72,0.208696,,,0.326484,0,0,0.9286,0.9057,0.8767,0.9037,,,,,,0.001,3
73,0.200751,,,0.284143,0,0,0.8942,0.8884,0.8815,0.8880,,,,,,0.001,3
74,0.188477,,,0.247546,0,0,0.9285,0.9181,0.8860,0.9109,,,,,,0.001,3
75,0.199853,,,0.281134,0,0,0.9279,0.9180,0.8836,0.9098,,,,,,0.001,3
76,0.206033,,,0.312120,0,0,0.9143,0.9087,0.8798,0.9010,,,,,,0.001,3
77,0.204538,,,0.278824,0,0,0.9311,0.9087,0.8798,0.9066,,,,,,0.001,3
78,0.198624,,,0.298571,0,0,0.9221,0.9069,0.8734,0.9008,,,,,,0.001,3
79,0.203696,,,0.273739,0,0,0.9290,0.9102,0.8844,0.9079,,,,,,0.001,3
80,0.187150,,,0.240780,0,0,0.9355,0.9186,0.8911,0.9151,0.9374,0.9285,0.9045,0.9235,0.9235,0.001,0
81,0.183446,,,0.260889,0,0,0.9309,0.9175,0.8848,0.9111,,,,,,0.001,0
82,0.192535,,,0.288776,0,0,0.9226,0.9214,0.8884,0.9108,,,,,,0.001,0
83,0.192663,,,0.268230,0,0,0.9284,0.9119,0.8798,0.9067,,,,,,0.001,0
84,0.191562,,,0.262134,0,0,0.9288,0.9205,0.8880,0.9124,,,,,,0.001,0
85,0.182538,,,0.266910,0,0,0.9169,0.9154,0.8833,0.9052,,,,,,0.001,0
86,0.199670,,,0.269586,0,0,0.9344,0.9189,0.8862,0.9132,,,,,,0.001,0
