epoch,train_loss,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,lr,early_stop_counter
1,0.665840,0.8406,0.7779,0.7859,0.8015,0.001,0
2,0.418574,0.8823,0.7951,0.8220,0.8331,0.001,0
3,0.369317,0.8837,0.7917,0.8216,0.8323,0.001,1
4,0.346978,0.8832,0.8478,0.8277,0.8529,0.001,0
5,0.291383,0.8943,0.8475,0.8182,0.8534,0.001,1
6,0.276056,0.8990,0.7986,0.8183,0.8386,0.001,2
7,0.261684,0.8973,0.8535,0.8410,0.8639,0.001,0
8,0.254751,0.8971,0.8524,0.8393,0.8629,0.001,1
9,0.245784,0.9043,0.8701,0.8495,0.8746,0.001,0
10,0.249583,0.9028,0.8761,0.8370,0.8720,0.001,1
11,0.258049,0.8950,0.8764,0.8497,0.8737,0.001,2
12,0.235793,0.9170,0.8872,0.8558,0.8867,0.001,0
13,0.244102,0.9094,0.8812,0.8462,0.8789,0.001,1
14,0.220067,0.9047,0.8866,0.8544,0.8819,0.001,2
15,0.227883,0.9054,0.8736,0.8451,0.8747,0.001,3
16,0.226256,0.9120,0.8854,0.8539,0.8838,0.001,4
17,0.226555,0.9118,0.8879,0.8621,0.8873,0.001,5
18,0.213578,0.9034,0.8891,0.8610,0.8845,0.001,6
19,0.221394,0.9201,0.8849,0.8559,0.8869,0.001,7
20,0.213682,0.9169,0.8866,0.8526,0.8853,0.001,8
21,0.214966,0.9173,0.8772,0.8521,0.8822,0.001,9
22,0.220390,0.9125,0.8909,0.8561,0.8865,0.001,10
23,0.203699,0.9198,0.8991,0.8658,0.8949,0.001,0
24,0.206930,0.9149,0.8867,0.8629,0.8881,0.001,1
25,0.206777,0.9011,0.8976,0.8636,0.8874,0.001,2
26,0.208301,0.9120,0.8916,0.8578,0.8871,0.001,3
27,0.207529,0.9215,0.9032,0.8725,0.8991,0.001,0
28,0.202654,0.9251,0.9031,0.8686,0.8989,0.001,1
29,0.195868,0.9152,0.8932,0.8672,0.8918,0.001,2
30,0.205302,0.9221,0.8875,0.8710,0.8935,0.001,3
31,0.202582,0.9137,0.8997,0.8651,0.8928,0.001,4
32,0.207434,0.8929,0.9081,0.8732,0.8914,0.001,5
33,0.196168,0.9103,0.8719,0.8350,0.8724,0.001,6
34,0.206134,0.9233,0.9061,0.8734,0.9009,0.001,0
35,0.182292,0.9258,0.9152,0.8778,0.9063,0.001,0
36,0.189903,0.9267,0.9129,0.8793,0.9063,0.001,1
37,0.200003,0.8657,0.8673,0.8189,0.8506,0.001,2
38,0.185132,0.9284,0.9030,0.8688,0.9001,0.001,3
39,0.181843,0.9133,0.9002,0.8715,0.8950,0.001,4
40,0.188606,0.9284,0.9148,0.8830,0.9087,0.001,0
41,0.193460,0.9261,0.9053,0.8744,0.9019,0.001,1
42,0.183911,0.9270,0.9177,0.8821,0.9089,0.001,2
43,0.191285,0.9260,0.9111,0.8740,0.9037,0.001,3
44,0.206009,0.9274,0.9102,0.8757,0.9044,0.001,4
45,0.189234,0.9269,0.9129,0.8788,0.9062,0.001,5
46,0.181889,0.9202,0.9081,0.8729,0.9004,0.001,6
47,0.191488,0.9195,0.9086,0.8747,0.9009,0.001,7
48,0.183540,0.9245,0.9163,0.8816,0.9075,0.001,8
49,0.174552,0.9260,0.9081,0.8765,0.9035,0.001,9
50,0.176014,0.9162,0.8770,0.8556,0.8829,0.001,10
51,0.187167,0.9082,0.9030,0.8705,0.8939,0.001,11
52,0.178600,0.9284,0.9100,0.8776,0.9053,0.001,12
53,0.183623,0.9327,0.9191,0.8850,0.9123,0.001,0
54,0.179269,0.9283,0.9189,0.8856,0.9109,0.001,1
55,0.183992,0.9262,0.9222,0.8887,0.9123,0.001,2
56,0.172413,0.9176,0.9175,0.8828,0.9060,0.001,3
57,0.171240,0.9303,0.9102,0.8798,0.9067,0.001,4
58,0.186510,0.9248,0.9134,0.8804,0.9062,0.001,5
59,0.185528,0.9339,0.9147,0.8810,0.9099,0.001,6
60,0.163486,0.9253,0.9140,0.8826,0.9073,0.001,7
61,0.179836,0.9283,0.8992,0.8765,0.9013,0.001,8
62,0.175219,0.9299,0.9156,0.8826,0.9094,0.001,9
63,0.174117,0.9336,0.9177,0.8839,0.9118,0.001,10
64,0.175391,0.9237,0.9102,0.8760,0.9033,0.0005,11
65,0.162248,0.9287,0.9155,0.8819,0.9087,0.0005,12
66,0.163314,0.9351,0.9204,0.8875,0.9143,0.0005,0
67,0.156826,0.9349,0.9202,0.8869,0.9140,0.0005,1
68,0.162559,0.9335,0.9161,0.8864,0.9120,0.0005,2
69,0.146078,0.9379,0.9207,0.8871,0.9153,0.0005,3
70,0.160270,0.9284,0.9152,0.8846,0.9094,0.0005,4
71,0.156864,0.9176,0.9184,0.8853,0.9071,0.0005,5
72,0.158225,0.9327,0.9071,0.8743,0.9047,0.0005,6
73,0.151182,0.9354,0.9200,0.8874,0.9143,0.0005,7
74,0.151713,0.9367,0.9216,0.8885,0.9156,0.0005,0
75,0.150078,0.9312,0.9085,0.8793,0.9063,0.0005,1
76,0.162370,0.9314,0.9204,0.8888,0.9136,0.0005,2
77,0.154916,0.9305,0.8993,0.8661,0.8986,0.0005,3
78,0.160942,0.9369,0.9228,0.8899,0.9165,0.0005,4
79,0.159577,0.9368,0.9187,0.8858,0.9138,0.0005,5
80,0.155718,0.9362,0.9209,0.8883,0.9151,0.0005,6
81,0.149162,0.9336,0.9221,0.8905,0.9154,0.0005,7
82,0.149030,0.9347,0.9236,0.8925,0.9169,0.0005,0
83,0.150161,0.9322,0.9188,0.8883,0.9131,0.0005,1
84,0.161895,0.9337,0.9218,0.8879,0.9145,0.0005,2
85,0.145137,0.9320,0.9236,0.8927,0.9161,0.0005,3
86,0.147034,0.9380,0.9183,0.8856,0.9140,0.0005,4
87,0.149883,0.9369,0.9134,0.8878,0.9127,0.0005,5
88,0.141259,0.9352,0.9192,0.8897,0.9147,0.0005,6
89,0.154464,0.9293,0.9209,0.8894,0.9132,0.0005,7
90,0.155441,0.9300,0.9255,0.8944,0.9166,0.0005,8
91,0.149946,0.9315,0.9210,0.8896,0.9140,0.0005,9
92,0.150316,0.9349,0.9217,0.8893,0.9153,0.0005,10
93,0.146440,0.9370,0.9228,0.8910,0.9169,0.00025,11
94,0.139537,0.9370,0.9233,0.8911,0.9171,0.00025,12
95,0.138846,0.9377,0.9223,0.8915,0.9172,0.00025,13
96,0.143796,0.9369,0.9229,0.8920,0.9173,0.00025,14
97,0.145572,0.9400,0.9208,0.8887,0.9165,0.00025,15
98,0.134919,0.9334,0.9253,0.8942,0.9177,0.00025,16
99,0.132761,0.9366,0.9251,0.8937,0.9185,0.00025,0
100,0.136146,0.9376,0.9248,0.8947,0.9190,0.00025,1
