epoch,train_loss,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,full_val_dice_wt,full_val_dice_tc,full_val_dice_et,full_val_mean_dice,selection_mean_dice,lr,early_stop_counter
1,1.021295,0.8223,0.7281,0.7575,0.7693,,,,,,0.001,0
2,0.718090,0.8077,0.7985,0.7847,0.7970,,,,,,0.001,0
3,0.605235,0.8512,0.8028,0.7596,0.8046,,,,,,0.001,0
4,0.511543,0.8703,0.8474,0.8266,0.8481,,,,,,0.001,0
5,0.472544,0.8305,0.7683,0.7341,0.7776,0.7226,0.6326,0.5780,0.6444,0.6444,0.001,0
6,0.448452,0.9014,0.8829,0.8495,0.8779,,,,,,0.001,0
7,0.408735,0.8972,0.8726,0.8476,0.8725,,,,,,0.001,0
8,0.393228,0.8983,0.8880,0.8533,0.8799,,,,,,0.001,0
9,0.396674,0.8981,0.8693,0.8467,0.8714,,,,,,0.001,0
10,0.370377,0.8872,0.8823,0.8463,0.8719,0.8935,0.9173,0.8808,0.8972,0.8972,0.001,0
11,0.357980,0.9059,0.8754,0.8393,0.8735,,,,,,0.001,0
12,0.362837,0.9009,0.8748,0.8478,0.8745,,,,,,0.001,0
13,0.371166,0.9125,0.8853,0.8520,0.8833,,,,,,0.001,0
14,0.333911,0.9071,0.8613,0.8292,0.8659,,,,,,0.001,0
15,0.340098,0.8851,0.8890,0.8564,0.8768,0.8950,0.9179,0.8883,0.9004,0.9004,0.001,0
16,0.332133,0.8590,0.8583,0.8356,0.8510,,,,,,0.001,0
17,0.347198,0.8943,0.8910,0.8531,0.8795,,,,,,0.001,0
18,0.327706,0.9160,0.8907,0.8581,0.8883,,,,,,0.001,0
19,0.328307,0.9115,0.8898,0.8603,0.8872,,,,,,0.001,0
20,0.321518,0.9039,0.8930,0.8622,0.8863,0.9138,0.9267,0.8916,0.9107,0.9107,0.001,0
21,0.323133,0.9079,0.8843,0.8488,0.8803,,,,,,0.001,0
22,0.325241,0.9116,0.8728,0.8412,0.8752,,,,,,0.001,0
23,0.327874,0.8999,0.8803,0.8610,0.8804,,,,,,0.001,0
24,0.307517,0.9166,0.8937,0.8581,0.8895,,,,,,0.001,0
25,0.313467,0.9061,0.8848,0.8584,0.8831,0.9091,0.9015,0.8790,0.8965,0.8965,0.001,1
26,0.321464,0.9131,0.8952,0.8687,0.8923,,,,,,0.001,1
27,0.304260,0.8979,0.8887,0.8574,0.8814,,,,,,0.001,1
28,0.292039,0.9158,0.9003,0.8683,0.8948,,,,,,0.001,1
29,0.297325,0.9123,0.9011,0.8668,0.8934,,,,,,0.001,1
30,0.319567,0.9088,0.8887,0.8592,0.8856,0.9126,0.9208,0.8908,0.9080,0.9080,0.001,2
31,0.303949,0.9179,0.9120,0.8793,0.9031,,,,,,0.001,2
32,0.298361,0.9208,0.9067,0.8758,0.9011,,,,,,0.001,2
33,0.316928,0.9028,0.9052,0.8698,0.8926,,,,,,0.001,2
34,0.283735,0.9175,0.8980,0.8712,0.8955,,,,,,0.001,2
35,0.291589,0.9229,0.9076,0.8765,0.9023,0.9277,0.9337,0.8978,0.9197,0.9197,0.001,0
36,0.304376,0.9105,0.9076,0.8755,0.8979,,,,,,0.001,0
37,0.278765,0.9189,0.8981,0.8638,0.8936,,,,,,0.001,0
38,0.299754,0.9197,0.9075,0.8766,0.9013,,,,,,0.001,0
39,0.284131,0.9091,0.9141,0.8813,0.9015,,,,,,0.001,0
40,0.285074,0.9211,0.9160,0.8833,0.9068,0.9252,0.9365,0.9018,0.9212,0.9212,0.001,0
41,0.297774,0.9188,0.8916,0.8627,0.8910,,,,,,0.001,0
42,0.287529,0.9207,0.9125,0.8796,0.9043,,,,,,0.001,0
43,0.289371,0.9203,0.9048,0.8758,0.9003,,,,,,0.001,0
44,0.291191,0.9247,0.9106,0.8773,0.9042,,,,,,0.001,0
45,0.296558,0.9006,0.9024,0.8717,0.8916,0.9300,0.9283,0.8990,0.9191,0.9191,0.001,1
46,0.273630,0.9235,0.9123,0.8790,0.9049,,,,,,0.001,1
47,0.283386,0.9226,0.9129,0.8819,0.9058,,,,,,0.001,1
48,0.273019,0.9203,0.9157,0.8821,0.9060,,,,,,0.001,1
49,0.288836,0.9186,0.9084,0.8803,0.9025,,,,,,0.001,1
50,0.280959,0.9250,0.9109,0.8762,0.9041,0.9319,0.9338,0.8982,0.9213,0.9213,0.001,2
51,0.277437,0.9185,0.9133,0.8805,0.9041,,,,,,0.001,2
52,0.276900,0.9294,0.9161,0.8791,0.9082,,,,,,0.001,2
53,0.275887,0.9160,0.8785,0.8453,0.8799,,,,,,0.001,2
54,0.271594,0.9222,0.9135,0.8788,0.9048,,,,,,0.001,2
55,0.271912,0.8980,0.9118,0.8782,0.8960,0.9029,0.9342,0.8986,0.9119,0.9119,0.001,3
56,0.265781,0.9255,0.9141,0.8802,0.9066,,,,,,0.001,3
57,0.275340,0.9201,0.9075,0.8702,0.8993,,,,,,0.001,3
58,0.277238,0.9117,0.9064,0.8744,0.8975,,,,,,0.001,3
59,0.276768,0.9200,0.9030,0.8729,0.8986,,,,,,0.001,3
60,0.257478,0.9265,0.9104,0.8743,0.9037,0.9349,0.9323,0.8922,0.9198,0.9198,0.001,4
61,0.275534,0.9276,0.9144,0.8806,0.9075,,,,,,0.001,4
62,0.265337,0.9274,0.9158,0.8861,0.9098,,,,,,0.001,4
63,0.278765,0.9188,0.9188,0.8870,0.9082,,,,,,0.001,4
64,0.270877,0.9220,0.9154,0.8835,0.9070,,,,,,0.001,4
65,0.267111,0.9100,0.8910,0.8669,0.8893,0.9137,0.9073,0.8839,0.9017,0.9017,0.0005,5
66,0.264380,0.9268,0.9171,0.8864,0.9101,,,,,,0.0005,5
67,0.249190,0.9307,0.9206,0.8905,0.9139,,,,,,0.0005,5
68,0.248928,0.9299,0.9183,0.8887,0.9123,,,,,,0.0005,5
69,0.255242,0.9306,0.9143,0.8823,0.9091,,,,,,0.0005,5
70,0.246457,0.9177,0.9178,0.8858,0.9071,0.9278,0.9335,0.9006,0.9206,0.9206,0.0005,6
