epoch,train_loss,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,lr,early_stop_counter
1,1.731347,0.7674,0.5625,0.5977,0.6425,0.0001,0
2,1.425673,0.8281,0.7008,0.6641,0.7310,0.0001,0
3,1.265063,0.8542,0.7527,0.7385,0.7818,0.0001,0
4,1.136185,0.8619,0.7490,0.7273,0.7794,0.0001,1
5,1.023101,0.8713,0.7636,0.7433,0.7927,0.0001,0
6,0.914190,0.8816,0.7828,0.7608,0.8084,0.0001,0
7,0.819339,0.8864,0.8051,0.7813,0.8243,0.0001,0
8,0.741284,0.8937,0.8260,0.8022,0.8406,0.0001,0
9,0.666677,0.8892,0.8376,0.8115,0.8461,0.0001,0
10,0.603616,0.8963,0.8547,0.8258,0.8589,0.0001,0
11,0.558992,0.8963,0.8104,0.8035,0.8367,0.0001,1
12,0.505517,0.9036,0.8491,0.8365,0.8631,0.0001,0
13,0.453375,0.8934,0.8536,0.8203,0.8558,0.0001,1
14,0.425245,0.8842,0.8630,0.8372,0.8614,0.0001,2
15,0.385911,0.9111,0.8844,0.8505,0.8820,0.0001,0
16,0.378405,0.9098,0.8798,0.8479,0.8792,0.0001,1
17,0.347700,0.9183,0.8763,0.8410,0.8785,0.0001,2
18,0.327350,0.9163,0.8847,0.8536,0.8849,0.0001,0
19,0.301258,0.9230,0.8700,0.8425,0.8785,0.0001,1
20,0.309966,0.9194,0.8910,0.8571,0.8892,0.0001,0
21,0.286468,0.9195,0.8855,0.8499,0.8850,0.0001,1
22,0.268451,0.9183,0.8905,0.8580,0.8889,0.0001,2
23,0.271107,0.9075,0.8971,0.8605,0.8884,0.0001,3
24,0.260382,0.9155,0.8881,0.8552,0.8863,0.0001,4
25,0.259156,0.9223,0.8947,0.8592,0.8921,0.0001,0
26,0.263467,0.9181,0.8789,0.8463,0.8811,0.0001,1
27,0.253673,0.9132,0.8835,0.8506,0.8824,0.0001,2
28,0.231921,0.9220,0.8879,0.8559,0.8886,0.0001,3
29,0.244773,0.9208,0.8868,0.8574,0.8883,0.0001,4
30,0.232307,0.9180,0.8918,0.8582,0.8893,0.0001,5
31,0.227351,0.9260,0.8843,0.8559,0.8887,0.0001,6
32,0.234526,0.9281,0.8893,0.8608,0.8927,0.0001,7
33,0.220645,0.9210,0.8851,0.8517,0.8859,0.0001,8
34,0.220024,0.9297,0.8838,0.8580,0.8905,0.0001,9
35,0.212445,0.9298,0.8977,0.8634,0.8970,0.0001,0
36,0.217432,0.9286,0.8971,0.8653,0.8970,0.0001,1
37,0.201232,0.9256,0.8915,0.8577,0.8916,0.0001,2
38,0.208240,0.9208,0.8957,0.8672,0.8945,0.0001,3
39,0.208535,0.9176,0.8897,0.8618,0.8897,0.0001,4
40,0.206463,0.9149,0.8938,0.8678,0.8922,0.0001,5
41,0.210826,0.9097,0.8760,0.8426,0.8761,0.0001,6
42,0.208542,0.9263,0.9011,0.8680,0.8985,0.0001,0
43,0.203735,0.9251,0.9027,0.8737,0.9005,0.0001,0
44,0.203325,0.9298,0.9051,0.8692,0.9013,0.0001,1
45,0.196230,0.9286,0.9003,0.8730,0.9007,0.0001,2
46,0.203554,0.9093,0.8797,0.8329,0.8740,0.0001,3
47,0.207183,0.9295,0.8979,0.8711,0.8995,0.0001,4
48,0.204319,0.9181,0.9045,0.8695,0.8974,0.0001,5
49,0.196518,0.9254,0.9060,0.8696,0.9003,0.0001,6
50,0.207388,0.9209,0.9080,0.8694,0.8995,0.0001,7
51,0.184213,0.9297,0.8998,0.8609,0.8968,0.0001,8
52,0.189662,0.9301,0.9039,0.8733,0.9024,0.0001,0
53,0.204414,0.9203,0.8862,0.8565,0.8876,0.0001,1
54,0.187285,0.9253,0.9059,0.8757,0.9023,0.0001,2
55,0.196959,0.9191,0.8991,0.8705,0.8963,0.0001,3
56,0.192173,0.9289,0.9065,0.8774,0.9043,0.0001,0
57,0.186812,0.9274,0.9036,0.8729,0.9013,0.0001,1
58,0.185916,0.9320,0.9034,0.8731,0.9028,0.0001,2
59,0.195973,0.9279,0.9070,0.8758,0.9036,0.0001,3
60,0.185292,0.9302,0.9003,0.8686,0.8997,0.0001,4
61,0.189443,0.9322,0.9081,0.8758,0.9054,0.0001,0
62,0.183469,0.9253,0.8932,0.8760,0.8981,0.0001,1
63,0.193605,0.9237,0.9015,0.8725,0.8992,0.0001,2
64,0.193394,0.9344,0.9057,0.8744,0.9048,0.0001,3
65,0.177482,0.9310,0.9041,0.8693,0.9015,0.0001,4
66,0.182647,0.9266,0.8981,0.8727,0.8991,0.0001,5
67,0.182480,0.9256,0.9043,0.8683,0.8994,0.0001,6
68,0.180667,0.9300,0.8985,0.8693,0.8993,0.0001,7
69,0.176175,0.9330,0.9058,0.8735,0.9041,0.0001,8
70,0.182555,0.9354,0.8970,0.8687,0.9004,0.0001,9
71,0.181424,0.9290,0.9077,0.8750,0.9039,0.0001,10
72,0.179795,0.9351,0.8899,0.8626,0.8958,5e-05,11
73,0.176326,0.9355,0.9016,0.8683,0.9018,5e-05,12
74,0.173851,0.9343,0.9012,0.8692,0.9016,5e-05,13
75,0.170384,0.9332,0.8941,0.8642,0.8972,5e-05,14
76,0.178622,0.9351,0.9025,0.8704,0.9027,5e-05,15
77,0.180273,0.9352,0.9069,0.8728,0.9050,5e-05,16
78,0.173049,0.9290,0.8996,0.8660,0.8982,5e-05,17
79,0.173405,0.9354,0.9122,0.8797,0.9091,5e-05,0
80,0.177425,0.9319,0.9004,0.8644,0.8989,5e-05,1
81,0.179403,0.9303,0.8976,0.8633,0.8971,5e-05,2
82,0.178708,0.9330,0.9158,0.8789,0.9092,5e-05,3
83,0.170083,0.9320,0.9057,0.8733,0.9037,5e-05,4
84,0.165232,0.9343,0.9087,0.8778,0.9070,5e-05,5
