epoch,train_loss,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,lr,early_stop_counter
1,0.672448,0.8264,0.7731,0.7979,0.7991,0.001,0
2,0.434056,0.8755,0.8076,0.8114,0.8315,0.001,0
3,0.390329,0.8748,0.8204,0.8176,0.8376,0.001,0
4,0.342136,0.8879,0.7977,0.8145,0.8333,0.001,1
5,0.344091,0.8908,0.8471,0.8288,0.8556,0.001,0
6,0.317382,0.8858,0.8440,0.8171,0.8490,0.001,1
7,0.300905,0.9060,0.8782,0.8495,0.8779,0.001,0
8,0.277664,0.9073,0.8617,0.8436,0.8709,0.001,1
9,0.267484,0.8992,0.8131,0.8051,0.8391,0.001,2
10,0.259105,0.8925,0.8789,0.8490,0.8735,0.001,3
11,0.258570,0.9079,0.8861,0.8523,0.8821,0.001,0
12,0.273204,0.8907,0.7686,0.8210,0.8268,0.001,1
13,0.264729,0.8952,0.8777,0.8486,0.8738,0.001,2
14,0.250117,0.9176,0.8907,0.8566,0.8883,0.001,0
15,0.244343,0.8839,0.8496,0.8303,0.8546,0.001,1
16,0.239921,0.9196,0.8979,0.8632,0.8936,0.001,0
17,0.239991,0.9184,0.8715,0.8477,0.8792,0.001,1
18,0.239000,0.9195,0.8975,0.8621,0.8930,0.001,2
19,0.229477,0.9179,0.8789,0.8415,0.8794,0.001,3
20,0.225170,0.9286,0.9005,0.8658,0.8983,0.001,0
21,0.227077,0.8961,0.8648,0.8480,0.8696,0.001,1
22,0.216373,0.9181,0.8984,0.8648,0.8938,0.001,2
23,0.227710,0.8944,0.8954,0.8653,0.8850,0.001,3
24,0.226580,0.9213,0.9010,0.8680,0.8968,0.001,4
25,0.230889,0.9151,0.8962,0.8618,0.8911,0.001,5
26,0.220786,0.9234,0.8915,0.8611,0.8920,0.001,6
27,0.223512,0.9227,0.8785,0.8590,0.8867,0.001,7
28,0.231773,0.9156,0.8914,0.8566,0.8879,0.001,8
29,0.214059,0.9203,0.8943,0.8615,0.8920,0.001,9
30,0.215282,0.9138,0.9070,0.8745,0.8984,0.001,10
31,0.203553,0.9259,0.9025,0.8709,0.8998,0.001,0
32,0.211592,0.9335,0.9009,0.8509,0.8951,0.001,1
33,0.219192,0.9306,0.9065,0.8740,0.9037,0.001,0
34,0.210148,0.9167,0.8911,0.8561,0.8880,0.001,1
35,0.222807,0.9257,0.9058,0.8714,0.9009,0.001,2
36,0.215415,0.9184,0.8942,0.8646,0.8924,0.001,3
37,0.210437,0.9276,0.8839,0.8629,0.8915,0.001,4
38,0.210143,0.9311,0.9109,0.8751,0.9057,0.001,0
39,0.214374,0.9212,0.9031,0.8663,0.8968,0.001,1
40,0.203341,0.9085,0.8935,0.8600,0.8873,0.001,2
41,0.195406,0.9341,0.9011,0.8667,0.9006,0.001,3
42,0.215019,0.9219,0.9018,0.8648,0.8962,0.001,4
43,0.193784,0.9175,0.8998,0.8622,0.8931,0.001,5
44,0.202741,0.9265,0.9096,0.8746,0.9036,0.001,6
45,0.190225,0.9307,0.8882,0.8570,0.8920,0.001,7
46,0.194741,0.9177,0.8882,0.8591,0.8883,0.001,8
47,0.202800,0.9285,0.9104,0.8767,0.9052,0.001,9
48,0.183781,0.9134,0.9080,0.8735,0.8983,0.001,10
49,0.210252,0.9141,0.9132,0.8808,0.9027,0.0005,11
50,0.196115,0.9368,0.9184,0.8839,0.9130,0.0005,0
